FileName	Sample Name
WTCHG_443733_286164	S137
WTCHG_443733_287176	S486
WTCHG_443733_288109	S430
WTCHG_443733_288188	S130
WTCHG_443733_289105	S414
WTCHG_443733_289192	S498
WTCHG_443733_290117	S291
WTCHG_443733_290180	S278
WTCHG_443733_291168	S51
WTCHG_443733_292141	FG101
WTCHG_443733_293153	S317
WTCHG_443733_294165	FG39R
WTCHG_443733_295120	S115
WTCHG_443733_295177	FG156M
WTCHG_443734_201106	S243
WTCHG_443734_201191	S97
WTCHG_443734_202118	S302
WTCHG_443734_203130	S132
WTCHG_443734_204142	S40
WTCHG_443734_205154	S171
WTCHG_443734_207119	S174
WTCHG_443734_208107	S196
WTCHG_443734_209190	S358
WTCHG_443734_210178	FG124F
WTCHG_443734_213142	S448
WTCHG_443734_214130	S224
WTCHG_443734_216106	FG150M
WTCHG_443734_217189	S203
WTCHG_443734_218177	S90
WTCHG_443734_223117	S465
WTCHG_443734_226176	S290
WTCHG_443734_230128	S422
WTCHG_443734_235163	S88
WTCHG_443734_240103	S181
WTCHG_443734_242174	S11
WTCHG_443734_249185	S125
WTCHG_443734_250173	S384
WTCHG_443734_257101	S164
WTCHG_443734_257196	S161
WTCHG_443734_258113	S306
WTCHG_443734_258184	S274
WTCHG_443734_259125	S84
WTCHG_443734_259172	FG44M
WTCHG_443734_260137	S38
WTCHG_443734_260160	S363
WTCHG_443734_261148	S34
WTCHG_443734_261149	S439
WTCHG_443734_262136	S208
WTCHG_443734_263173	S229
WTCHG_443734_264112	S287
WTCHG_443734_264185	S322
WTCHG_443734_265102	S295
WTCHG_443734_265195	S413
WTCHG_443734_266114	FG74F
WTCHG_443734_266183	S59
WTCHG_443734_267126	S328
WTCHG_443734_267171	S113
WTCHG_443734_268159	FG88
WTCHG_443734_269150	S258
WTCHG_443734_270135	S55
WTCHG_443734_270162	FG138
WTCHG_443734_271123	FG125F
WTCHG_443734_271174	S381
WTCHG_443734_273103	S281
WTCHG_443734_273194	S303
WTCHG_443734_274115	S12
WTCHG_443734_274182	S110
WTCHG_443734_275127	S86
WTCHG_443734_275170	FG124M
WTCHG_443734_276139	FG81F
WTCHG_443734_277151	S30
WTCHG_443734_278163	S336
WTCHG_443734_279122	FG156
WTCHG_443734_279175	S398
WTCHG_443734_280110	S94
WTCHG_443734_280187	FG130M
WTCHG_443734_281104	S52
WTCHG_443734_281193	FG136
WTCHG_443734_282116	S272
WTCHG_443734_282181	S225
WTCHG_443734_283128	S37
WTCHG_443734_283169	S120
WTCHG_443734_284140	S421
WTCHG_443734_285152	S61
WTCHG_443734_286164	S137
WTCHG_443734_287176	S486
WTCHG_443734_288109	S430
WTCHG_443734_288188	S130
WTCHG_443734_289105	S414
WTCHG_443734_289192	S498
WTCHG_443734_290117	S291
WTCHG_443734_290180	S278
WTCHG_443734_291168	S51
WTCHG_443734_292141	FG101
WTCHG_443734_293153	S317
WTCHG_443734_294165	FG39R
WTCHG_443734_295120	S115
WTCHG_443734_295177	FG156M
WTCHG_443735_201106	S243
WTCHG_443735_201191	S97
WTCHG_443735_202118	S302
WTCHG_443735_203130	S132
WTCHG_443735_204142	S40
WTCHG_443735_205154	S171
WTCHG_443735_207119	S174
WTCHG_443735_208107	S196
WTCHG_443735_209190	S358
WTCHG_443735_210178	FG124F
WTCHG_443735_213142	S448
WTCHG_443735_214130	S224
WTCHG_443735_216106	FG150M
WTCHG_443735_217189	S203
WTCHG_443735_218177	S90
WTCHG_443735_223117	S465
WTCHG_443735_226176	S290
WTCHG_443735_230128	S422
WTCHG_443735_235163	S88
WTCHG_443735_240103	S181
WTCHG_443735_242174	S11
WTCHG_443735_249185	S125
WTCHG_443735_250173	S384
WTCHG_443735_257101	S164
WTCHG_443735_257196	S161
WTCHG_443735_258113	S306
WTCHG_443735_258184	S274
WTCHG_443735_259125	S84
WTCHG_443735_259172	FG44M
WTCHG_443735_260137	S38
WTCHG_443735_260160	S363
WTCHG_443735_261148	S34
WTCHG_443735_261149	S439
WTCHG_443735_262136	S208
WTCHG_443735_263173	S229
WTCHG_443735_264112	S287
WTCHG_443735_264185	S322
WTCHG_443735_265102	S295
WTCHG_443735_265195	S413
WTCHG_443735_266114	FG74F
WTCHG_443735_266183	S59
WTCHG_443735_267126	S328
WTCHG_443735_267171	S113
WTCHG_443735_268159	FG88
WTCHG_443735_269150	S258
WTCHG_443735_270135	S55
WTCHG_443735_270162	FG138
WTCHG_443735_271123	FG125F
WTCHG_443735_271174	S381
WTCHG_443735_273103	S281
WTCHG_443735_273194	S303
WTCHG_443735_274115	S12
WTCHG_443735_274182	S110
WTCHG_443735_275127	S86
WTCHG_443735_275170	FG124M
WTCHG_443735_276139	FG81F
WTCHG_443735_277151	S30
WTCHG_443735_278163	S336
WTCHG_443735_279122	FG156
WTCHG_443735_279175	S398
WTCHG_443735_280110	S94
WTCHG_443735_280187	FG130M
WTCHG_443735_281104	S52
WTCHG_443735_281193	FG136
WTCHG_443735_282116	S272
WTCHG_443735_282181	S225
WTCHG_443735_283128	S37
WTCHG_443735_283169	S120
WTCHG_443735_284140	S421
WTCHG_443735_285152	S61
WTCHG_443735_286164	S137
WTCHG_443735_287176	S486
WTCHG_443735_288109	S430
WTCHG_443735_288188	S130
WTCHG_443735_289105	S414
WTCHG_443735_289192	S498
WTCHG_443735_290117	S291
WTCHG_443735_290180	S278
WTCHG_443735_291168	S51
WTCHG_443735_292141	FG101
WTCHG_443735_293153	S317
WTCHG_443735_294165	FG39R
WTCHG_443735_295120	S115
WTCHG_443735_295177	FG156M
WTCHG_443736_201106	S243
WTCHG_443736_201191	S97
WTCHG_443736_202118	S302
WTCHG_443736_203130	S132
WTCHG_443736_204142	S40
WTCHG_443736_205154	S171
WTCHG_443736_207119	S174
WTCHG_443736_208107	S196
WTCHG_443736_209190	S358
WTCHG_443736_210178	FG124F
WTCHG_443736_213142	S448
WTCHG_443736_214130	S224
WTCHG_443736_216106	FG150M
WTCHG_443736_217189	S203
WTCHG_443736_218177	S90
WTCHG_443736_223117	S465
WTCHG_443736_226176	S290
WTCHG_443736_230128	S422
WTCHG_443736_235163	S88
WTCHG_443736_240103	S181
WTCHG_443736_242174	S11
WTCHG_443736_249185	S125
WTCHG_443736_250173	S384
WTCHG_443736_257101	S164
WTCHG_443736_257196	S161
WTCHG_443736_258113	S306
WTCHG_443736_258184	S274
WTCHG_443736_259125	S84
WTCHG_443736_259172	FG44M
WTCHG_443736_260137	S38
WTCHG_443736_260160	S363
WTCHG_443736_261148	S34
WTCHG_443736_261149	S439
WTCHG_443736_262136	S208
WTCHG_443736_263173	S229
WTCHG_443736_264112	S287
WTCHG_443736_264185	S322
WTCHG_443736_265102	S295
WTCHG_443736_265195	S413
WTCHG_443736_266114	FG74F
WTCHG_443736_266183	S59
WTCHG_443736_267126	S328
WTCHG_443736_267171	S113
WTCHG_443736_268159	FG88
WTCHG_443736_269150	S258
WTCHG_443736_270135	S55
WTCHG_443736_270162	FG138
WTCHG_443736_271123	FG125F
WTCHG_443736_271174	S381
WTCHG_443736_273103	S281
WTCHG_443736_273194	S303
WTCHG_443736_274115	S12
WTCHG_443736_274182	S110
WTCHG_443736_275127	S86
WTCHG_443736_275170	FG124M
WTCHG_443736_276139	FG81F
WTCHG_443736_277151	S30
WTCHG_443736_278163	S336
WTCHG_443736_279122	FG156
WTCHG_443736_279175	S398
WTCHG_443736_280110	S94
WTCHG_443736_280187	FG130M
WTCHG_443736_281104	S52
WTCHG_443736_281193	FG136
WTCHG_443736_282116	S272
WTCHG_443736_282181	S225
WTCHG_443736_283128	S37
WTCHG_443736_283169	S120
WTCHG_443736_284140	S421
WTCHG_443736_285152	S61
WTCHG_443736_286164	S137
WTCHG_443736_287176	S486
WTCHG_443736_288109	S430
WTCHG_443736_288188	S130
WTCHG_443736_289105	S414
WTCHG_443736_289192	S498
WTCHG_443736_290117	S291
WTCHG_443736_290180	S278
WTCHG_443736_291168	S51
WTCHG_443736_292141	FG101
WTCHG_443736_293153	S317
WTCHG_443736_294165	FG39R
WTCHG_443736_295120	S115
WTCHG_443736_295177	FG156M
WTCHG_440317_201106	S145
WTCHG_440317_203130	S400
WTCHG_440317_204142	FG21R
WTCHG_440317_205154	S240
WTCHG_440317_206166	S333
WTCHG_440317_207178	S117
WTCHG_440317_208190	S403
WTCHG_440317_209107	S387
WTCHG_440317_210119	FG129
WTCHG_440317_211131	FG143M
WTCHG_440317_212143	S64
WTCHG_440317_213155	S227
WTCHG_440317_214167	S195
WTCHG_440317_215179	S114
WTCHG_440317_216191	S453
WTCHG_440317_217108	FG104M
WTCHG_440317_218120	S166
WTCHG_440317_219132	S438
WTCHG_440317_220144	S456
WTCHG_440317_221156	S259
WTCHG_440317_222168	S244
WTCHG_440317_223180	S176
WTCHG_440317_224192	S355
WTCHG_440317_225109	S31
WTCHG_440317_226121	FG23M
WTCHG_440317_227133	S490
WTCHG_440317_228145	S280
WTCHG_440317_229157	S301
WTCHG_440317_230169	S36
WTCHG_440317_231181	S54
WTCHG_440317_232193	S33
WTCHG_440317_233110	S49
WTCHG_440317_234122	S73
WTCHG_440317_235134	S172
WTCHG_440317_236146	S494
WTCHG_440317_237158	S95
WTCHG_440317_238170	S316
WTCHG_440317_239182	S165
WTCHG_440317_240194	S284
WTCHG_440317_241111	S77
WTCHG_440317_242123	S364
WTCHG_440317_243135	S451
WTCHG_440317_244147	S111
WTCHG_440317_245159	S80
WTCHG_440317_246171	S214
WTCHG_440317_247183	FG92
WTCHG_440317_248195	FG84
WTCHG_440317_249112	S383
WTCHG_440317_250124	S390
